"","goodsname","goodsprice"
"145","레드불)에너지드링크250ML","2200"
"146","레드불)화이트에디션250ML","2200"
"147","동서)콜롬비아나블랙240ML","1200"
"148","동서)콜롬비아나아메리카노240ML","1200"
"149","동서)콜롬비아나카페라떼240ML","1200"
"150","맥심)TOP스모키라떼275ML","2400"
"151","맥심)TOP스모키블랙275ML","2400"
"152","맥심)TOP더블랙275ML","2200"
"153","맥심)TOP마스터라떼275ML","2200"
"154","맥심)TOP스위트아메리카노275ML","2200"
"155","롯데)핫식스250ML","1500"
"156","롯데)핫식스팬시캔디250ML","1500"
"157","롯데)레몬비타1000 140ML","1000"
"158","롯데)아이시스8.0(2.0L)","1700"
"159","롯데)아이시스8.0(500ML)","950"
"160","롯데)아이시스에코2L-PLU판매","1600"
"161","롯데)아이시스에코500ML-PLU판매","900"
"162","칸타타)콘트라베이스라떼PET500","2500"
"163","칸타타)콘트라베이스블랙PET500","2500"
"164","칸타타)콘트라베이스스윗PET500","2500"
"165","칸타타)땅콩크림라떼275ML","2200"
"166","칸타타)아메리카노275ML(NB캔)","2200"
"167","칸타타)콜드브루블랙275ML(NB캔)","2200"
"168","칸타타)프리미엄라떼275ML(NB캔)","2200"
"169","롯데)칠성사이다캔355ML","1700"
"170","동원)보성홍차아이스티레몬500","2200"
"171","동원)보성홍차아이스티복숭아500","2200"
"172","동원)양반오미자차500ML","2200"
"173","유어스(P)지리산하동녹차500ML","2000"
"174","동원)보성녹차PET350ML","1200"
"175","OKF)밀키비해피500ML","1800"
"176","OKF)알로에베라킹500ML","2000"
"177","CJ)한뿌리마","2500"
"178","CJ)홍삼한뿌리","5000"
"179","CJ)인삼한뿌리","4000"
"180","에이플)프로틴스파클링레몬라임","2000"
"181","이디야)퓨레어레몬500ML","1700"
"182","이디야)퓨레어자몽500ML","1700"
"183","동아)오로나민C120ML","1200"
"184","광동)헛개파워100ML","5000"
"185","광동)흑미차500ML","2000"
"186","광동)우엉차500ML","1600"
"187","광동)헛개파워찐한포15ML","2500"
"188","광동)진한헛개차500ML","1800"
"189","광동)옥수수수염차이너브이500ML","2000"
"190","광동)비타500 180ML","1300"
"191","웅진)아침햇살340ML","1500"
"192","웅진)자연은토마토340ML","1500"
"193","웅진)초록매실340ML","1500"
"194","유어스)샤인머스캣500ML","1900"
"195","웅진)티즐유자그린티500ML","2000"
"196","웅진)티즐피치우롱티500ML","2000"
"197","유어스)웅진팥차500ML","1500"
"198","웅진)하늘보리PET500ML","1500"
"199","롯데)흑미숭늉차까늉500ML","1500"
"200","진마이랑)중경식마라탕면(대컵)","2000"
"201","삼양)삼양비빔면(봉지)","1050"
"202","삼양)열무비빔면","1000"
"203","농심)오징어짬뽕(봉지)","1050"
"204","농심)배홍동비빔면(봉지)","1050"
"205","농심)무파마탕면(봉지)","1250"
"206","농심)사천짜파게티(봉지)","1250"
"207","농심)둥지물냉면","1800"
"208","농심)둥지비빔냉면","1800"
"209","삼양)간짬뽕(대컵)","1350"
"210","삼양)불닭볶음면(대컵)","1500"
"211","삼양)치즈불닭볶음면(대컵)","1500"
"212","농심)너구리소컵","1000"
"213","농심)오징어짬뽕소컵","1000"
"214","농심)튀김우동소컵","1000"
"215","농심)튀김우동큰사발","1250"
"216","청정)돈코츠향라멘(소컵)","1400"
"217","청정)쇼유라멘(소컵)","1400"
"218","오뚜기)진비빔면(봉지)","1150"
"219","오뚜기)순후추라면매운맛(대컵)","1800"
"220","오뚜기)후추라면사골곰탕(대컵)","1800"
"221","오뚜기)육개장(소컵)","950"
"222","오뚜기)게이머즈힐러고기짬뽕(용","2800"
"223","본고장)로제파스타(대컵)","3000"
"224","본고장)봉골레파스타(대컵)","3000"
"225","농심)신라면볶음면큰사발","1600"
"226","유어스(P)NEW공화춘자장(대컵)","1550"
"227","해표)김이봉10G","1000"
"228","오리온)오그래놀라카카오미니12G","400"
"229","오리온)오그래놀라초코고래밥30G","800"
"230","동서)단백질바50G","1700"
"231","동서)오곡코코볼바25G","1200"
"232","동서)콘푸라이트베리요거트바27G","1200"
"233","삼양)까르보불닭떡볶이179G","3000"
"234","삼양)불닭떡볶이185G","3000"
"235","켈로그)베리앤넛에너지바1400","1400"
"236","켈로그)프로틴바30G","1400"
"237","켈로그)크런치넛에너지바1200","1200"
"238","동원)양반명품김자반50G","3900"
"239","동원)양반김(들기름김)5G","600"
"240","동원)양반전통김17G","1500"
"241","동원)양반도가니설렁탕460G","6500"
"242","동원)양반수라진순대국460G","6500"
"243","동원)양반왕갈비탕460G","6500"
"244","동원)양반우거지감자탕460G","6500"
"245","동원)양반차돌된장찌개460G","6500"
"246","동원)양반소고기미역국460G","4500"
"247","동원)양반쇠고기큰죽404G","4500"
"248","동원)양반야채큰죽404G","4500"
"249","동원)양반전복큰죽404G","4500"
"250","동원)양반차돌육개장460G","4500"
"251","동원)단백질바오리지널30G","1800"
"252","동원)단백질바초코로핀30G","1800"
"253","유어스)동파육200G","5900"
"254","유어스)장충동불족발180G","5900"
"255","오뚜기)사골곰탕500G","1900"
"256","오뚜기)남도식한우미역국500G","5900"
"257","오뚜기)안동식쇠고기국밥500G","5900"
"258","오뚜기)대구식쇠고기육개장500G","6500"
"259","오뚜기)마포식차돌된장찌개500G","6500"
"260","오뚜기)LA갈비덮밥(컵밥)","4500"
"261","오뚜기)김치참치덮밥(컵밥)","4500"
"262","오뚜기)된장짜글이밥310G(컵밥)","4500"
"263","오뚜기)매콤낙지덮밥(컵밥)","4500"
"264","오뚜기)소시지카레덮밥(컵밥)","4500"
"265","오뚜기)쇠고기미역국밥(컵밥)","3900"
"266","오뚜기)수원식갈비탕밥311G(컵밥","4500"
"267","오뚜기)제육덮밥(컵밥)","4500"
